author,music,lyrics
Harpa Cristã,Trabalhai e Orai,"Eu quero trabalhar pra meu SenhorLevando a Palavra com amorQuero eu cantar e orarE ocupado sempre estarSim, na vinha do SenhorTrabalhai e oraiNa seara e na vinha do SenhorMeu desejo é orarE ocupado sempre estarSim, na vinha do SenhorEu quero cada dia trabalharEscravos do pecado libertarConduzi-los a JesusNosso guia, nossa luzSim, na vinha do SenhorTrabalhai e oraiNa seara e na vinha do SenhorMeu desejo é orarE ocupado sempre estarSim, na vinha do SenhorEu quero ser obreiro de valorConfiando no poder do SalvadorSe quiseres trabalharAcharás também lugarSim, na vinha do SenhorTrabalhai e oraiNa seara e na vinha do SenhorMeu desejo é orarE ocupado sempre estarSim, na vinha do Senhor"
Harpa Cristã,No Céu Não Entra Pecado,"No céu não entra pecadoFadiga, tristeza e nem dorNão há coração quebrantadoPois todos são cheios de amorAs nuvens da vida terrestreNão podem a glória ofuscarDo reino de gozo celesteQue Deus quis, pra mim, preparar!Irei eu pra linda cidadeJesus me dará um lugarCom os crentes de todas idadesA Deus hei de sempre louvarDo céu tenho muitas saudadesDas glórias que lá hei de verOh, que gozo vou terQuando eu ver meu SenhorRodeado de grande esplendor!Pagar não é necessárioA casa que lá hei de terE meu eternal vestuárioNo céu, nunca vai se romperJamais viverei em pobrezaAflito, no meu santo larAli há bastante riquezaDa qual poderei desfrutarIrei eu pra linda cidadeJesus me dará um lugarCom os crentes de todas idadesA Deus hei de sempre louvarDo céu tenho muitas saudadesDas glórias que lá hei de verOh, que gozo vou terQuando eu ver meu SenhorRodeado de grande esplendor!No céu o luto é banidoEnterros não hão de passarSepulcros jamais são erguidosLá, mortos não vou encontrarOs velhos serão transformadosMudados nós vamos ficarQuais astros por Deus espalhadosNo céu, para sempre brilharIrei eu pra linda cidadeJesus me dará um lugarCom os crentes de todas idadesA Deus hei de sempre louvarDo céu tenho muitas saudadesDas glórias que lá hei de verOh, que gozo vou terQuando eu ver meu SenhorRodeado de grande esplendor!"
Valesca Mayssa,Inflama,"Eu não vou sair daquiEncontrei o meu lugarMeu desejo é Te servirFaz em mim o Teu altarNada é mais importanteNão há nada que eu queira maisTraz o céu, se não quiser, faz a terra subirCom Tua glória, envolve-meSopra o Teu vento aqui, toma todo esse lugarSanto Espírito de Deus, vem com fogo batizarInflamar esse lugarSopra o Teu vento aqui, toma todo esse lugarSanto Espírito de Deus, vem com fogo batizarInflamar esse lugarNada é mais importanteNão há nada que eu queira maisTraz o céu, se não quiser, faz a terra subirCom Tua glória, envolve-me, ohEnvolve-meEnvolve-meSopra o Teu vento aqui, toma todo esse lugarSanto Espírito de Deus, vem com fogo batizarInflamar esse lugar(Sopra) sopra o Teu vento aqui, toma todo esse lugarSanto Espírito de Deus, vem com fogo batizarInflamar esse lugarInflama a minha alma com Tua chamaVem, derrama, fogo no altar não se apagaráInflama a minha alma com Tua chamaVem, derrama, fogo no altar não se apagaráSopra o Teu vento aqui, toma todo esse lugarSanto Espírito de Deus, vem com fogo batizarInflamar esse lugar(Sopra, sopra) sopra o Teu vento aqui, toma todo esse lugarSanto Espírito de Deus, vem com fogo batizar (vem, vem, vem)E vem inflamar esse lugarE vem inflamar todo esse lugarE vem inflamar todo esse lugar (oh)E vem inflamar todo esse lugarE vem inflamar todo esse lugar (inflamar, inflamar, inflamar, inflamar)E vem inflamar todo esse lugarE vem inflamar todo esse lugar"
Harpa Cristã,Vencerá,"Quem possui a Cristo, nele firme estáAchará poder para o mal combaterPorque Suas promessas Ele cumpriráQuem está em Cristo, sempre há de vencerVencerá, vencerá, por Seu sangue venceráVencerá, vencerá, sempre venceráPois Jesus que impera, novas forças dáE quem nEle espera sempre venceráEm qualquer batalha, não desmaiaráDo poder das trevas há de triunfarDeus lhe dará forças, nunca falharáPorque Jeová combate em seu lugarVencerá, vencerá, por Seu sangue venceráVencerá, vencerá, sempre venceráPois Jesus que impera, novas forças dáE quem nEle espera sempre venceráEntre os inimigos, mui audaz seráQuem unido a Cristo nunca vacilarEm Jesus firmado, luz espargiráA luz do Evangelho para os libertarVencerá, vencerá, por Seu sangue venceráVencerá, vencerá, sempre venceráPois Jesus que impera, novas forças dáE quem nEle espera sempre vencerá"
Harpa Cristã,A Face Adorada de Jesus,"Desprezando toda a dor eu vou a cantarE o Calvário, ao pecador, sempre apontarFlechas transpassaram-me, padeci gran dorMas Jesus, minha luz, fez-me vencedorA face adorada de Jesus vereiCom a grei amada, no céu estareiNa mansão dourada, hinos vou cantarA Jesus, minha luz, que me quis salvar!Pode a noite escura ser no servir JesusMas clamando, com poder, brilhará a luzPodem os laços de Satã, todos me cercarMas Jesus, pela cruz, faz-me triunfar!A face adorada de Jesus vereiCom a grei amada, no céu estareiNa mansão dourada, hinos vou cantarA Jesus, minha luz, que me quis salvar!Quando estou a contemplar a montanha alémOnde a luta a governar, está Jesus tambémQue estende a Sua mão sobre nós daliSei assim, que por mim, Cristo vela aquiA face adorada de Jesus vereiCom a grei amada, no céu estareiNa mansão dourada, hinos vou cantarA Jesus, minha luz, que me quis salvar!Se entre as ondas estou sem luz, quase a perecerMeu piloto é Jesus, pode me valerO meu barco guia bem pelo bravo marSim, Jesus me conduz, posso sossegar!A face adorada de Jesus vereiCom a grei amada, no céu estareiNa mansão dourada, hinos vou cantarA Jesus, minha luz, que me quis salvar!"
Paulo Roberto,A Bíblia É a Palavra de Deus,"A Bíblia é a palavra de DeusSemeada no meio do povoQue cresceu, cresceu e nos transformouEnsinando-nos viver um mundo novoDeus é bom, nos ensina a viverNos revela o caminho a seguirSó no amor, partilhando seus donsSua presença iremos sentirA Bíblia é a palavra de DeusSemeada no meio do povoQue cresceu, cresceu e nos transformouEnsinando-nos viver um mundo novoSomos povo, o povo de DeusE formamos o reino de irmãosE a palavra que é viva nos guiaE alimenta a nossa uniãoA Bíblia é a palavra de DeusSemeada no meio do povoQue cresceu, cresceu e nos transformouEnsinando-nos viver um mundo novo"
Eliã Oliveira,Salmos 91,"Lá estava na cidade, desprezadaUma mulher que ninguém dava valorSua casa, sobre o muro edificadaNa cidade nomeada JericóDe repente, espalhou-se na cidadeA notícia do ataque dos hebreusDois espias invadiram a cidadeQuando o rei soube que era verdadeQuis os matar, porém Raabe os escondeuE disse então RaabeSei que o Senhor lhes deu esta terraVocês nos causaram um medo terrívelE todos estão apavorados por causa de vocêsPois temos ouvido como o Senhor secou as águas do Mar VermelhoPerante vocês, quando saíram do EgitoE o que vocês fizeram com Seom e OgueOs dois reis dos amorreus que vocês aniquilaramQuando soubemos disso, o povo desmaiou-se completamenteE por causa de vocês, todos perderam a coragemPois o Senhor, vosso Deus, é Deus em cima nos céus e embaixo na terraJurem-me, peço pelo SenhorQue assim como usei de misericórdia para convoscoTambém dela usareis para comigo e a casa de meu paiDeem-me um sinal seguro de que pouparão a nossa vidaLivrem-nos da morteSe faça conforme as tuas palavrasPorque nos livraste da morte, não morre ninguém na tua casaO fio de escarlate será o sinalNa tua janela, que Deus hoje sela e te livra do malE Deus os ouviu e se agradouNa mesma hora, esse acordo assinouNão vai morrer nem se ferir quem diz: É Deus!Porque Raabe se arriscou pelos meusEu vou descer com livramento pelos seus!Toda muralha caiu, mas sua casa está erguidaA cidade queimada, mas Raabe está com vidaOs muros derrubados, mas Raabe está de péO mundo desprezou, mas eu honrei a sua féTrabalhastes pra mim e eu não vou ficar devendoPor isso, desço hoje com escape e livramentoNão sofro de amnésia, lembro do esforço seuSe trabalhou pra mim, também trabalho pelos teusLivro tua casa, livro tua vida, livro teu filho, livro tua filhaLivro você, livro os teus, ninguém toca no que é meuLivro na entrada e na saída, livro no muro, livro na esquinaQuebro o arco e corto a lança, eu preservo tua vidaEnquanto você ora, enquanto você adoraDesço com livramento, com escape, com respostaSe tem fio de escarlate na janela da tua casaPode ficar tranquilo, ninguém fere, ninguém mataPodem cair os muros, a parede, a muralhaÀ direita, à esquerda, mas não cai a tua casaDa tua parentela não vai se ferir nenhumEu cumpro na tua vida o Salmo 91Aquele que habita no meu esconderijoEle está bem guardado e está protegidoA seta não lhe atinge e o mal não lhe tocaO laço é desfeito, não chega em sua portaMil cairão ao seu lado (sim, cairão), dez mil à sua direita (sim, cairão)Mas não serás atingido, pois sou teu escudo, tua fortalezaAté quem está na casa, não vai se ferir nenhumPorque aquele que habita no meu esconderijoEle está bem guardado e está protegidoA seta não lhe atinge e o mal não lhe tocaO laço é desfeito, não chega em sua portaMil cairão ao seu lado (sim, cairão), dez mil à sua direita (sim, cairão)Mas não serás atingido, pois sou teu escudo, tua fortalezaAté quem está na casa, não vai se ferir nenhumPor amor a ti, livrarei cada um"
Sabrina Carpenter,Please Please Please,"(Please, please, please, don't prove I'm right)I know I have good judgment, I know I have good tasteIt's funny and it's ironic that only I feel that wayI promise 'em that you're differentAnd everyone makes mistakes, but just don'tI heard that you're an actor, so act like a stand-up guyWhatever devil's inside you, don't let him out tonightI tell them it's just your cultureAnd everyone rolls their eyes, yeah, I knowAll I'm asking, babyPlease, please, pleaseDon't prove I'm rightAnd please, please, pleaseDon't bring me to tears when I just did my makeup so niceHeartbreak is one thingMy ego's anotherI beg you: Don't embarrass me, motherfucker, ah-ohPlease, please, please (ah-ah-ah)Well, I have a fun idea, babe (uh-huh): Maybe just stay insideI know you're craving some fresh airBut the ceiling fan is so nice (it's so nice, right?)And we could live so happilyIf no one knows that you're with meI'm just kidding, but really (kinda), really, reallyPlease, please, please (please, don't prove I'm right)Don't prove I'm rightAnd please, please, pleaseDon't bring me to tears when I just did my makeup so niceHeartbreak is one thing (heartbreak is one thing)My ego's another (ego's another)I beg you: Don't embarrass me, motherfucker, ah-ohPlease, please, please (ah-ah-ah)If you wanna go and be stupidDon't do it in front of meIf you don't wanna cry to my musicDon't make me hate you prolificallyPlease, please, please (please)Please, please, please (please)Please (please), please (please), please(Ah-ah-ah-ah)"
Matuê,04AM,"São quatro da manhã e eu tô na estradaFaço meu dinheiro em qualquer lugar (bra)Minha 911 rasgando o asfaltoPior que eu não consigo desacelerarMinha vida é aceleradaSem tempo pra família e pra minha amada (yeah)Com a minha mente atribulada (woah)Coisas que eu deixei na vida passadaE a Lua ilumina o caminho de casaEu busco, mas eu não sei o meu lugarNum susto, o destino me dá uma volta (volta)Eu quero tudo e ninguém vai me parar (não)Bem no fundo, medo tentava tomar contaAlém desse plano, eu vou te reencontrar(Eu vou te reencontrar)(Yeah) cheguei num posto, mas eu nunca paro (não-não, não-não, não-não)Eu vou pro topo sem olhar pra trás (não-não, não-não, não-não)Se eu não me superar, eu vazoNão tem como negar o fatoNo fim, só os melhores vão sobrar, yeahUm dia eu vou comprar um jatoMentira, eu vou até o espaçoDo planeta, bem longe da órbita, yeahEu calculei os meus estragosNo golpe, eu voltei como astro (yeah)Colhendo o que se pode imaginarE a Lua ilumina o caminho de casaEu busco, mas eu não sei o meu lugar (yeah)Num susto, o destino me dá uma voltaEu quero tudo e ninguém vai me pararBem no fundo, medo tentava tomar contaBem no fundo, medo tentava tomar contaAlém desse sonho, eu vou te encontrarNum susto, o destino me dá uma voltaEu quero tudo, e ninguém vai me parar (ninguém vai me parar)Bem no fundo, o medo tentava tomar conta (além desse plano)Muito além desse plano, eu vou te reencontrar"
Harpa Cristã,Mais Perto Quero Estar,"Mais perto quero estarMeu Deus, de ti!Inda que seja a dorQue me una a tiSempre hei de suplicarMais perto quero estarMais perto quero estarMeu Deus, de ti!Andando triste aquiNa solidãoPaz e descanso a mimTeus braços dãoNas trevas vou sonharMais perto quero estarMais perto quero estarMeu Deus, de tiMinh'alma cantará a ti, Senhor!E em Betel alçaráPadrão de amorEu sempre hei de rogarMais perto quero estarMais perto quero estarMeu Deus, de ti!E quando Cristo, enfimMe vier chamarNos céus com serafinsIrei morarEntão me alegrareiPerto de ti, meu ReiPerto de ti, meu ReiMeu Deus, de ti!"
The Neighbourhood,Sweater Weather,"All I am is a manI want the world in my handsI hate the beach, but I stand In California, with my toes in the sandUse the sleeves of my sweaterLet's have an adventureHead in the clouds, but my gravity's centeredTouch my neck and I'll touch yoursYou in those little high waisted shorts, ohShe knows what I think aboutAnd what I think aboutOne love, two mouthsOne love, one houseNo shirt, no blouseJust us, you find outNothing that wouldn't wanna tell you about no'Cause it's too coldFor you here and nowSo let me holdBoth your hands in the holes of my sweaterAnd if I may just take your breath awayI don't mind if there's not much to saySometimes the silence guides our minds To move to a place so far awayThe goosebumps start to raiseThe minute that my left hand meets your waistAnd then I watch your facePut my finger on your tongue, 'cause you love to taste, yeahThese hearts adoreEveryone the other beats hardest forInside, this place is warmOutside, it starts to pourComing downOne love, two mouthsOne love, one houseNo shirt, no blouseJust us, you find outNothing that I wouldn't wanna tell you about, no, no, no'Cause it's too coldFor you here and nowSo let me holdBoth your hands in the holes of my sweater'Cause it's too coldFor you here and nowSo let me holdBoth your hands in the holes of my sweater, ooh, ooh'Cause it's too coldFor you here and nowSo let me holdBoth your hands in the holes of my sweater'Cause it's too coldFor you here and nowLet me holdBoth your hands in the holes of my sweaterIt's too coldIt's too coldThe holes of my sweater"
Ministério Apascentar de Louvor (Toque No Altar),Te Louvarei (Perto Quero Estar),"Perto quero estarJunto aos Teus pésPois prazer maior não háQue me render e Te adorarTudo que há em mimQuero Te ofertarMas ainda é pouco, eu seiSe comparado ao que ganheiNão sou apenas servoTeu amigo me torneiTe louvareiNão importam as circunstânciasAdorareiSomente a Ti, JesusPerto quero estarJunto aos Teus pésPois prazer maior não háQue me render e Te adorarTudo que há em mimQuero Te ofertarMas ainda é pouco, eu seiSe comparado ao que ganheiNão sou apenas servoTeu amigo me torneiTe louvareiNão importam as circunstânciasAdorareiSomente a Ti, JesusTe louvareiNão importam as circunstânciasAdorareiSomente a Ti, JesusTe louvareiNão importam as circunstânciasAdorareiSomente a Ti, JesusSomente a Ti, JesusSomente a Ti, JesusSomente a Ti, Jesus"
Valesca Mayssa,Boa Obra,"Quem começou a boa obra é fiel pra terminarNo seu tempo e na sua hora Ele tudo cumpriráPasse os céus e passe a terraSua palavra não vai passarPorque mais fiel que EleNunca houve e não haverá!O medo vem a todo instante pra querer minha fé roubarDizendo você já tentou demais agora pare de sonharEntão fui ler os meus projetos e comecei a analisarÉ distante da minha realidade, preciso rabiscarOuvi a voz de Deus bradarDizendo: Filho, espere um pouco que agora eu vou falarEu não te trouxe até aqui para morrerSerá que você se esqueceuEu penso mais alto que vocêE o meu caminho é maior que o seuEntão levante a cabeça e volte a projetarNão risque nada do papel porque eu sou fiel pra realizar!Quem começou a boa obra é fiel pra terminarNo seu tempo e na sua hora Ele tudo cumpriráPasse os céus e passe a terraSua palavra não vai passarPorque mais fiel que EleNunca houve e não haveráO homem te prometeu e depois se arrependeu, mas fiel é Deus, fiel é DeusDisse que iria te ajudar e depois foi embora, mas fiel é Deus, fiel é DeusQue não falha, não tarda, mas sempre chega na hora exataEle não mente, não se arrepende, pois ele zela por sua palavraJá prepara o coração pra ver Deus completar essa linda obraQue Ele começou na sua vida e você vai cantarQuem começou a boa obra é fiel pra terminarNo seu tempo e na sua hora Ele tudo cumpriráPasse os céus e passe a terraSua palavra não vai passarPorque mais fiel que EleNunca houve e não haverá!Quem começou a boa obra é fiel pra terminarNo seu tempo e na sua hora Ele tudo cumpriráPasse os céus e passe a terraSua palavra não vai passarPorque mais fiel que EleNunca houve e não haveráMais fiel que o meu DeusNunca houve e jamais haverá"
Bruno Mars,Count On Me,"Oh, oh, ohIf you ever find yourself stuck in the middle of the seaI'll sail the world to find youIf you ever find yourself lost in the dark and you can't seeI'll be the light to guide youWe find out what we're made ofWhen we are called to help our friends in needYou can count on me like one, two, three, I'll be thereAnd I know when I need itI can count on you like four, three, two, and you'll be there'Cause that's what friends are supposed to do, oh, yeahOoh, oohOoh, ooh, yeah, yeahIf you're tossing and you're turning and you just can't fall asleepI'll sing a song beside youAnd if you ever forget how much you really mean to meEveryday I will remind you, ohWe find out what we're made ofWhen we are called to help our friends in needYou can count on me like one, two, three, I'll be thereAnd I know when I need itI can count on you like four, three, two, and you'll be there'Cause that's what friends are supposed to do, oh, yeahOoh, oohOoh, ooh, yeah, yeahYou'll always have my shoulder when you cryI'll never let go, never say goodbyeYou know you canCount on me like one, two, three, I'll be thereAnd I know when I need itI can count on you like four, three, two, and you'll be there'Cause that's what friends are supposed to do, oh, yeahOoh, oohOoh, oohYou can count on me 'cause I can count on you"
Liniker,VELUDO MARROM,"Talvez eu goste ainda mais de nósNum dia inteiro colados, a sósCom tempo pra se discorrer a doisSentir sua pele sem tua roupaNão ligo se faz frio ou faz calorHoje, quem me ligar, digo que tôNas nuvens de um poeta ou algo assimTorcendo pra não ser mentiraEnquanto você dorme, eu cheiro vocêPra guardar na memória o tomDo meu veludo cor marrom, aiEu não tô a fim de desgrudarMas quero fazer, dos dias, a pazPara fazer um escarcéu com teu sorrisoNem ligo, a gente pode demorarTalvez eu goste ainda mais de nósNum dia inteiro colados, a sósCom tempo pra se discorrer a doisSentir sua pele sem tua roupaNão ligo se faz frio ou faz calorHoje, quem me ligar, digo que tôNas nuvens de um poeta ou algo assimTorcendo pra não ser mentiraEnquanto você dorme, eu cheiro vocêPra guardar na memória o tomDo meu veludo cor marrom, aiEu não tô a fim de desgrudarMas quero fazer, dos dias, a pazPara fazer um escarcéu com teu sorrisoNem ligo, a gente pode demorarTalvez eu goste ainda mais de nósNum dia inteiro colados, a sósCom tempo pra se discorrer a doisSentir tua pele sem tua roupaNão ligo se faz frio ou faz calorHoje, quem me ligar, digo que tôNas nuvens de um poeta ou algo assimTorcendo pra não ser mentiraEnquanto você dorme, eu cheiro vocêPra guardar na memória o tomDo meu veludo cor marrom, aiEu não tô a fim de desgrudarMas quero fazer, dos dias, a pazPra fazer um escarcéu com teu sorrisoNem ligo, a gente pode demorar"
George Michael,Careless Whisper,"Oh, oh, ohOhI feel so unsureAs I take your hand and lead you to the dance floorAs the music dies, something in your eyesCalls to mind a silver screenAnd all its sad goodbyesI'm never gonna dance againGuilty feet have got no rhythmThough it's easy to pretendI know you're not a foolShould've known better than to cheat a friendAnd waste the chance that I've been givenSo I'm never gonna dance againThe way I danced with you, oh, ohTime can never mendThe careless whispers of a good friendTo the heart and mindIgnorance is kindThere's no comfort in the truthPain is all you'll findI'm never gonna dance againGuilty feet have got no rhythmThough it's easy to pretendI know you're not a foolShould've known better than to cheat a friendAnd waste this chance that I've been givenSo I'm never gonna dance againThe way I danced with you, ohNever without your loveTonight the music seems so loudI wish that we could lose this crowdMaybe it's better this wayWe'd hurt each other with the things we'd want to sayWe could have been so good togetherWe could have lived this dance foreverBut now who's gonna dance with me?Please, stay!And I'm never gonna dance againGuilty feet have got no rhythmThough it's easy to pretendI know you're not a foolShould've known better than to cheat a friendAnd waste the chance that I've been givenSo I'm never gonna dance againThe way I danced with youOh, oh(Now that you're gone) now that you're gone(Now that you're gone) what I did's so wrong, so wrongThat you had to leave me aloneOh, ohOh, ohOh, ohOh, ohOh, ohOh"
Nívea Soares,Grande É o Senhor (part. Adhemar de Campos),Grande é o SenhorE mui digno de louvorNa cidade do nosso DeusSeu Santo monteAlegria de toda terraGrande é o SenhorEm quem nós temos a vitóriaQue nos ajudaContra o inimigoPor isso diante DeleNos prostramosQueremos o Teu nome engrandecerE agradecer-TePor tua obra em nossa vidaConfiamos em Teu infinito amorPois só Tu és o Deus eternoSobre toda terra e CéusQueremos o Teu nome engrandecerE agradecer-TePor tua obra em nossa vidaConfiamos em Teu infinito amorPois só Tu és o Deus eternoSobre toda terra e Céus
Jessé Aguiar,Alívio,"O meu combustível pra continuarJesus é a calmaria, o aconchego dos meus diasO meu alicerce pra não desistirNão tá sendo fácil aqui, mas eu tenho que seguirTá tão complicado, PaiEu confesso, eu tô cansado e não quero maisTô exausto e com medoTem dias que o peito apertaTem dias que o fardo pesaNem que for se arrastandoEu não volto pra trásFica aqui comigo e não sai maisÉs o meu alívioTudo o que eu preciso bem aqui comigo pra eu continuarQue me impulsiona todos os dias pra eu não pararTu és o motivo, Jesus, que eu tenho pra avançarAh, ah, ahÉs o meu alívioA força e o ânimo que eu necessito pra prosseguirSe eu não desisti, o motivo é porque sempre esteve aquiNos piores momentos dizendo que nunca desiste de mimPra onde eu irei se o que eu preciso só encontro em Ti?Tá tão complicado, PaiEu confesso, eu tô cansado e não quero maisTô exausto e com medoTem dias que o peito apertaTem dias que o fardo pesaNem que for se arrastandoEu não volto pra trásFica aqui comigo e não sai maisÉs o meu alívioTudo o que eu preciso bem aqui comigo pra eu continuarQue me impulsiona todos os dias pra eu não pararTu és o motivo, Jesus, que eu tenho pra avançarAh, ah, ahÉs o meu alívioA força e o ânimo que eu necessito pra prosseguirSe eu não desisti, o motivo é porque sempre esteve aquiNos piores momentos dizendo que nunca desiste de mimAh, ah, ahÉs o meu alívioTudo o que eu preciso bem aqui comigo pra eu continuarQue me impulsiona todos os dias pra eu não pararTu és o motivo, Jesus, que eu tenho pra avançarAh, ah, ahÉs o meu alívioA força e o ânimo que eu necessito pra prosseguirSe eu não desisti, o motivo é porque sempre esteve aquiNos piores momentos dizendo que nunca desiste de mimPra onde eu irei se o que eu preciso só encontro em Ti?És o meu alívioÉs o meu alívioÉs o meu alívioAlívio"
Kailane Frauches,Passa Lá Em Casa Jesus,"Senhor, não foi fácil Te encontrar aquiMinha filha está quase morrendo lá em casaMe falaram que o Senhor pode curarSe não for Te pedir muito, Jesus, passa lá em casaPassa lá em casa, JesusVai na minha casa, JesusCura minha famíliaTraz vida, traz vida, traz vidaPassa lá em casa, JesusVai na minha casa, JesusMexe na estruturaA casa é Tua, é Tua, é TuaFilho, Eu tô indo lá em direção ao teu problemaFilho, Eu tô indo lá, pra Mim não existe dilemaA promessa não morreu, a herança está de péNão perca tua féTalita cumiLevanta, meninaTalita cumiLevanta, tem vidaTem vida, tem vidaPassa lá em casa, JesusVai na minha casa, JesusCura minha famíliaTraz vida, traz vida, traz vidaPassa lá em casa, JesusVai na minha casa, JesusMexe na estruturaA casa é Tua, é Tua, é TuaPassa lá em casa, JesusVai na minha casa, JesusCura minha famíliaTraz vida, traz vida, traz vidaPassa lá em casa, JesusVai na minha casa, JesusMexe na estruturaA casa é Tua, é Tua, é TuaPassa lá em casa, JesusVai na minha casa, JesusCura minha famíliaTraz vida, traz vida, traz vidaPassa lá em casa, JesusVai na minha casa, JesusMexe na estruturaA casa é Tua, é Tua, é TuaPassa lá em casaVai na minha casaPassa lá em casaPode fazer moradaPassa lá em casaMora em minha casa"
Harpa Cristã,Sobre as Ondas do Mar,"Oh! Por que duvidarSobre as ondas do marQuando Cristo caminho abriu?Quando forçado és, contra as ondas lutarSeu amor a ti quer revelarSolta o cabo da nauToma os remos na mãoE navega com fé em JesusE então, tu verás que bonança se fazPois com Ele, seguro serásTrevas vêm te assustarTempestades no mar?Da montanha o Mestre te vêE na tribulaçãoEle vem socorrerSua mão bem te pode susterSolta o cabo da nauToma os remos na mãoE navega com fé em JesusE então, tu verás que bonança se fazPois com Ele, seguro serásPodes tu recordarMaravilhas, sem par?No deserto ao povo fartouE o mesmo poderEle sempre teráPois não muda e não falharáSolta o cabo da nauToma os remos na mãoE navega com fé em JesusE então, tu verás que bonança se fazPois com Ele, seguro serásQuando pedes mais féEle ouve, ó crê!Mesmo sendo em tribulaçãoQuando a mão de poder o teu ego tirarSobre as ondas poderás andarSolta o cabo da nauToma os remos na mãoE navega com fé em JesusE então, tu verás que bonança se fazPois com Ele, seguro serásPois com Ele, seguro serásSolta o cabo da nau"
Iguinho e Lulinha,Amanheceu (part. Ruan Vitor Vaqueirinho),"Amanheceu, e eu sozinho aqui no bar, saudade da morenaCoração doeu, mandei mensagem: Eu te amoRespondeu: Que penaQue pena mesmo que você não está aqui do meu ladoQue pena mesmo que você não sobe na garupa do meu cavaloEu lembro quando a gente se conheceuNão tinha casa, fazenda, nem dinheiroPedi pra seu pai pra casar com vocêEle falou que não aceitava vaqueiroVem, amor, vem pro seu vaqueiroQue é pra gente fazer love o dia inteiroAmor, vem pro seu vaqueiroQue é pra gente fazerVem, amor, vem pro seu vaqueiroQue é pra gente fazer love o dia inteiroAmor, vem pro seu vaqueiroQue é pra gente fazerAmanheceu, e eu aqui, sozinho aqui no bar, saudade da morenaCoração doeu, mandei mensagem: Eu te amoRespondeu: Que penaQue pena mesmo que você não está aqui do meu ladoQue pena mesmo que você não sobe na garupa do meu cavaloEu lembro quando a gente se conheceuNão tinha casa, fazenda, nem dinheiroPedi pra seu pai pra casar com vocêEle falou que não aceitava vaqueiroVem, amor, vem pro seu vaqueiroQue é pra gente fazer love o dia inteiroAmor, vem pro seu vaqueiroQue é pra gente fazerVem, amor, vem pro seu vaqueiroQue é pra gente fazer love o dia inteiroAmor, vem pro seu vaqueiroQue é pra gente fazer"
Ben E. King,Stand By Me,"When the night has comeAnd the land is darkAnd the Moon is the only light we'll seeNo, I won't be afraidOh, I won't be afraidJust as long as you stand, stand by meSo, darlin', darlin', stand by meOh, stand by meOh, standStand by meStand by meIf the sky that we look uponShould tumble and fallOr the mountains should crumble to the seaI won't cry, I won't cryNo, I won't shed a tearJust as long as you stand, stand by meAnd, darlin', darlin', stand by meOh, stand by meWhoa, stand nowStand by meStand by meDarlin', darlin', stand by meOh, stand by meOh, stand nowStand by meStand by meWhenever you're in trouble, won't you stand by me?Oh, stand by meWow, just stand nowOh, standStand by me"
Harpa Cristã,"Guia-me Sempre, Meu Senhor","Onde guiar-me, meu SenhorEu seguirei por Seu amorÉ Sua mão que me conduzPor mim ferida sobre a cruzGuia-me sempre, meu SenhorGuia meus passos, SalvadorTu me compraste sobre a cruzRege-me em tudo, meu JesusAcho prazer em Te seguirDescanso e paz me faz sentirDoce é a mim o Teu quererGozo me traz Te obedecerGuia-me sempre, meu SenhorGuia meus passos, SalvadorTu me compraste sobre a cruzRege-me em tudo, meu JesusSigo sem medo, meu SenhorQue me encheu do Seu amorSentindo perto a Sua mãoPosso cantar na escuridãoGuia-me sempre, meu SenhorGuia meus passos, SalvadorTu me compraste sobre a cruzRege-me em tudo, meu JesusPara Seu reino me conduzPelo jardim e pela cruzLá ficou morto o velho euLá meu espírito reviveuGuia-me sempre, meu SenhorGuia meus passos, SalvadorTu me compraste sobre a cruzRege-me em tudo, meu Jesus"
